cliente_id,edad,ciudad,producto,meses_activo,compras_totales,ingreso_total,soporte_tickets,medio_pago,churn,segmento_antiguedad,grupo_edad,prob_churn,riesgo
1,56,Rosario,Tv,36,42,45387.0,5,Desconocido,0,24+ meses,45-60,0.3271419115436612,Medio
2,69,Cordoba,Telefonia,38,37,341960.0,1,Efectivo,0,24+ meses,60+,0.15961171150049522,Bajo
3,46,Cordoba,Internet,39,37,7642.0,5,Tarjeta,0,24+ meses,45-60,0.4262664508106504,Medio
4,32,Desconocida,Desconocido,37,42,309281.0,12,Tarjeta,0,24+ meses,30-45,0.1876629112801427,Bajo
5,60,Buenos aires,Desconocido,35,37,478048.0,5,Transferencia,0,24+ meses,45-60,0.4188121023262649,Medio
6,25,Rosario,Telefonia,7,35,275628.0,7,Desconocido,0,6-12 meses,18-30,0.2607300541931318,Bajo
7,78,Rosario,Desconocido,27,23,329404.0,6,Transferencia,1,24+ meses,60+,0.6070474966534417,Alto
8,38,Rosario,Tv,28,6,151510.0,7,Desconocido,1,24+ meses,30-45,0.5425547870775204,Medio
9,56,Buenos aires,Tv,22,4,315586.0,13,Desconocido,0,12-24 meses,45-60,0.29066387842604585,Bajo
10,75,Cordoba,Internet,14,18,370205.0,8,Transferencia,0,12-24 meses,60+,0.19794651096970367,Bajo
11,36,Buenos aires,Internet,7,9,401210.0,5,Efectivo,0,6-12 meses,30-45,0.1942900159349057,Bajo
12,40,Cordoba,Internet,37,49,259511.0,13,Transferencia,1,24+ meses,30-45,0.29692117249366057,Bajo
13,28,Buenos aires,Telefonia,22,29,392988.0,2,Transferencia,0,12-24 meses,18-30,0.21081394537415796,Bajo
14,28,Rosario,Internet,5,13,366719.0,9,Tarjeta,0,0-6 meses,18-30,0.486041900484949,Medio
15,41,Desconocida,Tv,2,47,268957.0,2,Tarjeta,0,0-6 meses,30-45,0.2489680283256924,Bajo
16,70,Buenos aires,Desconocido,27,17,360171.0,10,Transferencia,0,24+ meses,60+,0.20182291667649538,Bajo
17,53,Cordoba,Tv,21,45,390633.0,11,Transferencia,0,12-24 meses,45-60,0.29736533805796694,Bajo
18,57,Desconocida,Telefonia,38,32,89381.0,0,Tarjeta,0,24+ meses,45-60,0.6843080658011468,Alto
19,41,Rosario,Tv,15,48,254880.0,10,Desconocido,1,12-24 meses,30-45,0.48215603927679995,Medio
20,20,Mendoza,Desconocido,21,22,322420.0,14,Transferencia,1,12-24 meses,18-30,0.7041034525115409,Alto
21,39,Buenos aires,Tv,10,4,308387.0,12,Efectivo,1,6-12 meses,30-45,0.2604063333854145,Bajo
22,70,Cordoba,Telefonia,23,5,198984.0,14,Efectivo,1,12-24 meses,60+,0.2780070583106728,Bajo
23,19,Desconocida,Tv,39,37,65272.0,4,Efectivo,0,24+ meses,18-30,0.5380029057040471,Medio
24,41,Cordoba,Internet,5,41,178123.0,13,Transferencia,0,0-6 meses,30-45,0.11160577689415367,Bajo
25,61,Rosario,Tv,1,49,477070.0,3,Desconocido,1,0-6 meses,60+,0.72667041559808,Alto
26,47,Rosario,Internet,13,13,218808.0,8,Desconocido,1,12-24 meses,45-60,0.5094325242975867,Medio
27,55,Cordoba,Internet,21,34,258091.0,14,Tarjeta,0,12-24 meses,45-60,0.19521028574805055,Bajo
28,19,Desconocida,Tv,26,45,332762.0,8,Transferencia,0,24+ meses,18-30,0.11464366407852068,Bajo
29,77,Cordoba,Telefonia,45,22,269064.0,14,Desconocido,0,24+ meses,60+,0.11865426731655057,Bajo
30,38,Cordoba,Desconocido,21,23,111121.0,13,Transferencia,0,12-24 meses,30-45,0.17468122965754745,Bajo
31,50,Cordoba,Tv,18,3,475435.0,4,Tarjeta,0,12-24 meses,45-60,0.28370907273218526,Bajo
32,29,Cordoba,Tv,37,42,81872.0,9,Tarjeta,0,24+ meses,18-30,0.43687194466296164,Medio
33,75,Cordoba,Desconocido,45,34,348276.0,3,Tarjeta,0,24+ meses,60+,0.1996546333561958,Bajo
34,39,Rosario,Internet,32,32,269237.0,6,Efectivo,0,24+ meses,30-45,0.5006789277960593,Medio
35,78,Buenos aires,Internet,36,45,280049.0,14,Transferencia,1,24+ meses,60+,0.5606747848288526,Medio
